Anion Size (pm),n value,Bandgap,Layer Shift Factor(t1),Layer Shift Factor (t2),Molecular weight of spacer,Nitrogen content in spacer cation,Contact Material,Work function of Contact (ev),Structure Type,Bias,Light Intensity (W/cm2),Responsivity (A/W)
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,4.96E-07,0.000242
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,9.75E-07,0.000144
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,1.01E-05,0.000007
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,8.19E-05,0.000001
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,5.09E-04,1.21E-07
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,7.98E-04,9.63E-08
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,1.03E-03,1.03E-07
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,1.09E-06,0.00314
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0,0.00261
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.001,0.00133
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.002,0.00112
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.002,0.00104
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.003,0.00085
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.004,0.00071
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,1.00E-04,0.0042
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.00025,0.004
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.0005,0.0038
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.001,0.0029
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.0015,0.003
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.0025,0.0029
206,1,2.17,0.39,0.44,122.19,11.46,Au,5.1,Lateral,0,2.34E-06,13.3
206,1,2,0.39,0.44,122.19,11.46,Au,5.1,Lateral,-3,2.34E-06,0.4
206,4,2.23,0.48,0.49,74.15,18.89,Au,5.1,Sandwich,1.5,2.20E-01,0.4
206,2,2.01,0.48,0.49,74.15,18.89,Au,5.1,Lateral,0,1.40E-02,0.72
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,0.00E+00,0.35
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,1.00E+02,0.1
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,2.00E+02,0.09
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,3.00E+02,0.085
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,4.00E+02,0.062
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,5.00E+02,0.05
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Lateral,2,226,0.125
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,8.00E-06,0.2341
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,7.97E-06,0.23404
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,1.49E-05,0.22036
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,2.62E-05,0.19245
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,4.75E-05,0.18674
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0001,0.15127
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0074,0.06415
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0158,0.05196
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0361,0.03846
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0575,0.03259
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.0709,1.98586
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.036,1.41669
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.0265,0.98577
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.0135,0.40038
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,1.7163,0.02986
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,4.1387,0.03478
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,6.6273,0.02358
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,8.9387,3.64E-02
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,1.20E-03,1.20E-02
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,2.54E-03,1.15E-02
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,4.99E-03,1.04E-02
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,8.07E-03,9.57E-03
196,3,2.36,0.5,0.49,115.2,24.32,Ag,4.26,Lateral,10,1.10E-02,9.13E-03
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0075,0.005
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0048,0.0015
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0001,0.0007
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.0067,0.0005
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.013,0.0004
196,1,2.76,0.16,0.31,90.17,31.07,Ag,4.26,Lateral,8,0.019,0.0003
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0076,0.0145
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0048,0.0021
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.000026,0.0061
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0063,0.0078
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0126,0.0085
196,1,2.6,0.17,0.3,103.19,27.15,Ag,4.26,Lateral,8,0.0184,0.0091
