Anion Size (pm),n value,Bandgap,Layer Shift Factor(t1),Layer Shift Factor (t2),Molecular weight of spacer,Nitrogen content in spacer cation,Contact Material,Work function of Contact (ev),Structure Type,Bias,Light Intensity (W/cm2),Responsivity (A/W),Detectivity (Jones)
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.017,0.3369,1.05E+13
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.088,0.1555,4.64E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,0.588,0.0809,2.53E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,2.561,0.0511,1.57E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,11.697,0.0606,1.79E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,56.065,0.03919,1.24E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,127.266,0.03004,9.24E+11
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,1,704.965,0.01455,4.40E+11
196,1,1.88,0.19,0.5,74.15,18.89,C,3.75,Lateral,1,0.88,4.13E-05,4.21E+09
196,1,1.88,0.19,0.5,74.15,18.89,C,3.75,Lateral,5,0.88,2.76E-04,2.80E+10
196,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,2,0.88,9.12E-03,6.94E+11
196,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,5,0.88,2.46E-02,2.12E+12
206,1,2.3,0.49,0.5,74.15,18.89,C,3.75,Lateral,1,0.88,2.28E-03,2.22E+11
206,1,2.3,0.49,0.5,74.15,18.89,C,3.75,Lateral,5,0.88,1.94E-02,9.19E+11
206,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,3,0.88,1.77E-03,4.20E+11
206,2,1.96,0.5,0.5,74.15,18.89,C,3.75,Lateral,4,0.88,2.51E-03,4.24E+11
206,4,1.85,0.5,0.5,74.15,18.89,C,3.75,Lateral,1,0.88,0.00452,29030466703
206,4,1.85,0.5,0.5,74.15,18.89,C,3.75,Lateral,5,0.88,0.0794,6.55E+12
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.120792079,0.002,0.0028,4.15E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.16039604,0.002,0.0034,4.51E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.201980198,0.002,0.0041,5.12E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.23960396,0.002,0.0051,5.80E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.279207921,0.002,0.0058,6.05E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.316831683,0.002,0.0067,6.31E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.36039604,0.002,0.0076,6.58E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.4,0.002,0.0087,7.15E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.441584158,0.002,0.0087,7.46E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.481188119,0.002,0.01,7.78E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.520792079,0.002,0.0093,7.78E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.558415842,0.002,0.0107,8.46E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.598019802,0.002,0.0123,8.64E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.637623762,0.002,0.0123,8.82E+11
206,1,1,2.3,0.49,0.5,74.15,Au,5.1,Lateral,0.679207921,0.002,0.0131,9.59E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.120792079,0.002,0.0062,2.51E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.16039604,0.002,0.0076,2.85E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.201980198,0.002,0.01,3.37E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.23960396,0.002,0.013111,3.90E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.279207921,0.002,0.016065,4.24E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.316831683,0.002,0.017191,4.71E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.36039604,0.002,0.019684,5.12E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.4,0.002,0.022539,5.45E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.441584158,0.002,0.022539,5.80E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.481188119,0.002,0.025809,6.05E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.520792079,0.002,0.029552,6.18E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.558415842,0.002,0.033839,6.44E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.598019802,0.002,0.033839,6.72E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.637623762,0.002,0.033839,6.86E+11
206,2,2.3,0.49,0.5,74.15,18.89,Au,5.1,Lateral,0.679207921,0.002,0.033839,7.15E+11
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.120792079,0.002,0.033839,1.13E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.16039604,0.002,0.047476,1.00E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.201980198,0.002,0.058171,1.00E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.23960396,0.002,0.07627,1.04E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.279207921,0.002,0.1,1.09E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.316831683,0.002,0.1145,1.18E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.36039604,0.002,0.1403,1.29E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.4,0.002,0.16065,1.34E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.441584158,0.002,0.19684,1.46E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.481188119,0.002,0.22539,1.52E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.520792079,0.002,0.22539,1.58E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.558415842,0.002,0.25809,1.65E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.598019802,0.002,0.27617,1.69E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.637623762,0.002,0.29552,1.72E+12
206,3,1.86,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.679207921,0.002,0.29552,1.76E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.120792079,0.002,1.50131,7.78E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.16039604,0.002,2.10634,9.01E+12
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.201980198,0.002,2.95521,1.04E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.23960396,0.002,3.87468,1.13E+13
